2026-06-17 16:29:30,444 | INFO | CypressInfra | Starting test: test_login_success
2026-06-17 16:29:30,446 | INFO | CypressInfra | Initializing WebDriver for browser: chrome
2026-06-17 16:29:34,599 | INFO | CypressInfra | Navigating to https://www.saucedemo.com/
2026-06-17 16:29:35,608 | INFO | CypressInfra | Fill data into element: ('id', 'user-name')
2026-06-17 16:29:35,740 | INFO | CypressInfra | Fill data into element: ('id', 'password')
2026-06-17 16:29:35,832 | INFO | CypressInfra | Click on element: ('id', 'login-button')
2026-06-17 16:29:36,000 | INFO | CypressInfra | Get text from element: ('class name', 'app_logo')
2026-06-17 16:29:36,045 | INFO | CypressInfra | Test test_login_success passed
2026-06-17 16:29:36,048 | INFO | CypressInfra | Closing WebDriver
2026-06-17 16:30:35,315 | INFO | CypressInfra | Starting test: test_add_to_cart_updates_cart_badge
2026-06-17 16:30:35,317 | INFO | CypressInfra | Initializing WebDriver for browser: chrome
2026-06-17 16:30:37,536 | INFO | CypressInfra | Navigating to https://www.saucedemo.com/
2026-06-17 16:30:38,556 | INFO | CypressInfra | Fill data into element: ('id', 'user-name')
2026-06-17 16:30:38,654 | INFO | CypressInfra | Fill data into element: ('id', 'password')
2026-06-17 16:30:38,710 | INFO | CypressInfra | Click on element: ('id', 'login-button')
2026-06-17 16:30:38,900 | INFO | CypressInfra | Click on element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-06-17 16:30:39,021 | INFO | CypressInfra | Get text from element: ('class name', 'shopping_cart_badge')
2026-06-17 16:30:39,057 | INFO | CypressInfra | Test test_add_to_cart_updates_cart_badge passed
2026-06-17 16:30:39,058 | INFO | CypressInfra | Closing WebDriver
2026-06-17 16:30:41,328 | INFO | CypressInfra | Starting test: test_checkout_can_finish_order
2026-06-17 16:30:41,329 | INFO | CypressInfra | Initializing WebDriver for browser: chrome
2026-06-17 16:30:43,494 | INFO | CypressInfra | Navigating to https://www.saucedemo.com/
2026-06-17 16:30:43,734 | INFO | CypressInfra | Fill data into element: ('id', 'user-name')
2026-06-17 16:30:44,621 | INFO | CypressInfra | Fill data into element: ('id', 'password')
2026-06-17 16:30:44,682 | INFO | CypressInfra | Click on element: ('id', 'login-button')
2026-06-17 16:30:44,859 | INFO | CypressInfra | Click on element: ('id', 'add-to-cart-sauce-labs-backpack')
